                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3103,                 3.6364,                 1.7397,                0.53768,                0.34615,                0.23156,                0.16843,                 1.0723,                 2.8301,                 1.4641,                0.07075,                0.00325,                0.00325
                      2,                0.90205,                 1.6002,                 1.3767,                0.50294,                0.45446,                 0.4806,                0.34127,                 1.4715,                 1.6976,                 1.8489,               0.040098,              0.0059316,              0.0059316
                      3,                  0.976,                 1.2886,                 1.4386,                0.59662,                 0.4226,                 0.4865,                0.31294,                  1.472,                 2.2068,                  1.663,              0.0087865,              0.0079532,              0.0079532
                      4,                0.97982,                 1.1854,                  1.434,                0.57123,                0.67621,                0.66773,                0.45634,                  1.139,                 1.7385,                 1.5726,                0.00703,                0.00703,                0.00703
                      5,                0.97107,                 1.0723,                 1.4309,                0.64991,                0.56775,                0.62944,                0.39264,                 1.3469,                 1.6313,                 1.9316,                0.00703,                0.00703,                0.00703
                      6,                 0.9346,                0.99308,                 1.4052,                0.73187,                 0.6281,                0.71314,                0.50595,                 1.0764,                 1.2968,                  1.442,                0.00604,                0.00604,                0.00604
                      7,                0.87983,                 0.8421,                 1.3265,                0.69608,                0.60743,                0.67344,                0.51763,                0.99503,                 1.5714,                 1.3904,                0.00505,                0.00505,                0.00505
                      8,                 0.8667,                0.81577,                 1.3297,                0.69627,                0.65355,                0.70994,                0.53943,                0.98432,                 1.1347,                 1.3547,                0.00406,                0.00406,                0.00406
                      9,                0.81317,                0.71624,                 1.2894,                0.79366,                0.71145,                0.78052,                0.62363,                0.91801,                0.88354,                 1.3575,                0.00307,                0.00307,                0.00307
                     10,                0.74813,                0.66268,                  1.225,                0.89788,                0.86404,                0.91904,                0.72751,                0.82462,                 0.6473,                 1.2169,                0.00208,                0.00208,                0.00208
