                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1808,                 2.8667,                 1.5531,                0.35738,                0.43088,                0.33142,                0.24144,                 1.1384,                 2.4809,                 1.4894,                0.07075,                0.00325,                0.00325
                      2,                0.97222,                 1.7647,                 1.3393,                0.53486,                0.34188,                0.20444,                0.11982,                 1.4695,                 2.9124,                 1.8194,               0.040685,              0.0065182,              0.0065182
                      3,                0.97879,                 1.4464,                 1.3273,                0.39208,                0.31501,                0.31757,                0.17634,                 1.7726,                 3.7851,                 2.2228,               0.010554,              0.0097203,              0.0097203
                      4,                 1.0181,                 1.2935,                 1.3187,                0.42432,                0.25401,                0.20186,                0.08404,                 2.5373,                 3.1161,                   3.32,               0.009703,               0.009703,               0.009703
                      5,                 1.0626,                 1.2635,                 1.3669,                 0.5854,                0.39865,                0.41723,                0.20491,                 1.4183,                 2.8862,                 1.7641,               0.009703,               0.009703,               0.009703
                      6,                 1.0598,                 1.1775,                 1.3568,                0.58989,                0.45307,                0.50254,                0.33618,                 1.2208,                 3.1256,                 1.6152,               0.009604,               0.009604,               0.009604
                      7,                 1.0939,                 1.2513,                 1.4004,                0.83905,                0.53738,                0.68661,                0.48764,                0.98873,                 1.8028,                 1.4709,               0.009505,               0.009505,               0.009505
                      8,                 1.0433,                 1.1155,                 1.3358,                0.58313,                0.62377,                0.52228,                0.35032,                 1.2113,                 1.7584,                  1.642,               0.009406,               0.009406,               0.009406
                      9,                  1.018,                 1.1596,                 1.3359,                 0.7026,                0.48272,                0.63659,                0.41456,                 1.1176,                 1.5494,                 1.4804,               0.009307,               0.009307,               0.009307
                     10,                 1.0247,                 1.1389,                 1.3354,                0.63938,                0.65526,                0.66864,                0.46318,                 1.0768,                 1.4844,                 1.4929,               0.009208,               0.009208,               0.009208
                     11,                0.98054,                 1.0504,                 1.2727,                0.45255,                0.52979,                0.50224,                0.25604,                 1.8347,                 1.8217,                 2.0716,               0.009109,               0.009109,               0.009109
